Fish,Sex,Sound Level,Control,Rest 50 Hz,Rest 90 Hz,Rest 200 Hz,Rest 500 Hz,Rest 1000 Hz,Rest 10000 Hz,Breach 50 Hz,Breach 90 Hz,Breach 200 Hz,Breach 500 Hz,Breach 1000 Hz,Breach 10000 Hz,Swimming 50 Hz,Swimming 90 Hz,Swimming 200 Hz,Swimming 500 Hz,Swimming 1000 Hz,Swimming 10000 Hz,Escape 50 Hz,Escape 90 Hz,Escape 200 Hz,Escape 500 Hz,Escape 1000 Hz,Escape 10000 Hz
1,F,130,0,20,53,38,1,1,,0,0,0,0,0,,24,7,4,-1,6,,-10,-7,-3,0,-6,
1,F,135,0,21,6,-6,48,-6,,0,0,0,0,0,,7,-14,-8,-1,2,,-2,-12,20,-6,30,
1,F,140,0,-53,-35,-4,-36,-20,,6,7,7,0,9,,60,63,27,29,23,,43,8,3,0,-9,
1,F,150,0,,,,,,2,,,,,,0,0,0,0,0,0,-7,0,0,0,0,0,0
2,F,140,0,-48,-10,-13,-32,0,,7,8,9,0,0,,53,48,38,7,0,,30,10,0,0,0,
2,F,135,0,-28,-12,0,-30,0,,3,0,4,6,0,,2,-2,3,1,1,,12,0,79,0,17,
2,F,130,0,-21,,0,0,0,,0,,0,0,0,,2,0,0,0,0,,4,0,3,0,0,
2,F,150,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0
3,F,140,0,-41,0,-26,-8,0,,8,2,3,4,0,,18,30,32,18,6,,89,12,112,23,21,
3,F,135,0,5,-44,-15,-12,-9,,0,0,0,2,0,,-3,-1,-3,-2,-9,,46,13,33,20,7,
3,F,130,0,0,,-4,-9,-2,,0,,0,0,0,,2,0,14,19,23,,1,0,0,12,4,
3,F,150,0,,,,,,2,,,,,,0,,,,,,9,,,,,,0
4,F,140,0,-19,-12,-38,-43,0,,10,16,3,0,0,,60,48,56,39,0,,96,62,88,13,14,
4,F,135,0,-9,-26,,-26,-8,,0,2,2,0,0,,-6,-10,-12,-3,-7,,0,31,43,34,0,
4,F,130,0,-2,0,0,0,-1,,0,0,0,0,0,,-3,-4,-1,-2,-9,,2,5,4,4,1,
4,F,150,0,,,,,,0,,,,,,0,,,,,,-4,,,,,,5
5,F,140,0,-10,-20,-30,-10,-25,,18,10,28,0,0,,53,44,9,1,21,,71,60,93,13,0,
5,F,135,0,-2,-13,-28,-4,-26,,15,7,4,0,0,,7,0,-27,0,-30,,43,46,7,5,0,
5,F,130,0,-1,-2,-4,0,0,,0,0,0,0,0,,4,-5,-17,0,0,,0,0,0,0,0,
5,F,150,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0
